TAG='' — model | long prompts | peak(J-C) pos1-5 | peak(J-C) late window (11-15, or 40-59 for _long) | per-prompt sign (late>early) | CI95 boot of (late-early) peak
gemma-3-270m     | 10 |  0.43 |  0.80 | 7/10 | [ 0.21,  0.54]
gemma-3-270m-it  | 10 |  0.27 |  0.57 | 9/10 | [ 0.16,  0.48]
gemma-3-1b       | 10 |  0.12 |  0.50 | 7/10 | [-0.01,  0.57]
gemma-3-1b-it    | 10 |  0.92 |  0.98 | 5/10 | [-0.48,  0.31]
gemma-3-4b       | 10 |  0.92 |  1.34 | 8/10 | [ 0.07,  0.82]
gemma-3-4b-it    | 10 |  0.51 |  1.05 | 7/10 | [ 0.28,  0.83]
gemma-3-12b      | 10 |  1.51 |  2.64 | 9/10 | [ 0.59,  1.95]
gemma-3-12b-it   | 10 |  1.09 |  2.44 | 10/10 | [ 0.73,  1.64]
qwen3.5-0.8b     |  8 |  0.55 |  0.89 | 7/8 | [-0.06,  0.65]
qwen3.5-2b-pt    |  8 |  0.89 |  1.00 | 5/8 | [-0.10,  0.36]
qwen3.5-4b       |  8 |  1.44 |  1.61 | 3/8 | [-0.10,  0.75]
qwen3.5-9b-pt    |  8 |  1.00 |  1.51 | 6/8 | [ 0.08,  0.97]
